county,count
Alameda,NA
Alpine,NA
Amador,NA
Butte,NA
Calaveras,NA
Colusa,NA
Contra Costa,NA
Del Norte,NA
El Dorado,NA
Fresno,NA
Glenn,NA
Humboldt,NA
Imperial,NA
Inyo,NA
Kern,NA
Kings,NA
Lake,NA
Lassen,NA
Los Angeles,NA
Madera,NA
Marin,NA
Mariposa,NA
Mendocino,NA
Merced,NA
Modoc,NA
Mono,NA
Monterey,NA
Napa,4480
Nevada,NA
Orange,NA
Placer,NA
Plumas,NA
Riverside,NA
Sacramento,NA
San Benito,NA
San Bernardino,NA
San Diego,NA
San Francisco,NA
San Joaquin,NA
San Luis Obispo,2365
San Mateo,NA
Santa Barbara,1975
Santa Clara,NA
Santa Cruz,NA
Shasta,NA
Sierra,NA
Siskiyou,NA
Solano,NA
Sonoma,7754
Stanislaus,NA
Sutter,NA
Tehama,NA
Trinity,NA
Tulare,NA
Tuolumne,NA
Ventura,NA
Yolo,NA
Yuba,NA
